Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
GD McGrath,7,4,15,7,2.14,Australia,v Namibia,Potchefstroom,27-02-2003,ODI # 1970
AJ Bichel,10,-,20,7,2,Australia,v England,Gqeberha,02-03-2003,ODI # 1976
TG Southee,9,-,33,7,3.66,New Zealand,v England,Wellington,20-02-2015,ODI # 3607
WW Davis,10.3,-,51,7,4.85,West Indies,v Australia,Leeds,11-06-1983,ODI # 203
Mohammed Shami,9.5,-,57,7,5.79,India,v New Zealand,Wankhede,15-11-2023,ODI # 4703
GJ Gilmour,12,6,14,6,1.16,Australia,v England,Leeds,18-06-1975,ODI # 31
A Nehra,10,2,23,6,2.3,India,v England,Durban,26-02-2003,ODI # 1969
SE Bond,10,2,23,6,2.3,New Zealand,v Australia,Gqeberha,11-03-2003,ODI # 1986
WPUJC Vaas,9.1,2,25,6,2.72,Sri Lanka,v Bangladesh,Pietermaritzburg,14-02-2003,ODI # 1950
KAJ Roach,8.3,-,27,6,3.17,West Indies,v Netherlands,Delhi,28-02-2011,ODI # 3112
MA Starc,9,-,28,6,3.11,Australia,v New Zealand,Auckland,28-02-2015,ODI # 3617
Shaheen Shah Afridi,9.1,-,35,6,3.81,Pakistan,v Bangladesh,Lord's,05-07-2019,ODI # 4186
SL Malinga,7.4,-,38,6,4.95,Sri Lanka,v Kenya,Colombo (RPS),01-03-2011,ODI # 3113
KH MacLeay,11.5,3,39,6,3.29,Australia,v India,Nottingham,13-06-1983,ODI # 207
GD McGrath,8.4,3,14,5,1.61,Australia,v West Indies,Manchester,30-05-1999,ODI # 1470
Shahid Afridi,8,3,16,5,2,Pakistan,v Kenya,Hambantota,23-02-2011,ODI # 3105
AJ Hall,10,2,18,5,1.8,South Africa,v England,Bridgetown,17-04-2007,ODI # 2574
Mohammed Shami,5,1,18,5,3.6,India,v Sri Lanka,Wankhede,02-11-2023,ODI # 4690
AG Hurst,10,3,21,5,2.1,Australia,v Canada,Birmingham,16-06-1979,ODI # 70
PA Strang,9.4,1,21,5,2.17,Zimbabwe,v Kenya,Patna,27-02-1996,ODI # 1063
L Klusener,8.3,3,21,5,2.47,South Africa,v Kenya,Amstelveen,26-05-1999,ODI # 1462
Shahid Afridi,10,-,23,5,2.3,Pakistan,v Canada,Colombo (RPS),03-03-2011,ODI # 3116
CO Obuya,10,-,24,5,2.4,Kenya,v Sri Lanka,Nairobi (Gym),24-02-2003,ODI # 1965
Sir RJ Hadlee,10.1,4,25,5,2.45,New Zealand,v Sri Lanka,Bristol,13-06-1983,ODI # 206
MA Starc,9.4,1,26,5,2.68,Australia,v New Zealand,Lord's,29-06-2019,ODI # 4178
BKV Prasad,9.3,2,27,5,2.84,India,v Pakistan,Manchester,08-06-1999,ODI # 1476
A Codrington,9,3,27,5,3,Canada,v Bangladesh,Durban,11-02-2003,ODI # 1946
TA Boult,10,3,27,5,2.7,New Zealand,v Australia,Auckland,28-02-2015,ODI # 3617
Wasim Akram,9,1,28,5,3.11,Pakistan,v Namibia,Kimberley,16-02-2003,ODI # 1954
SF Dukanwala,10,-,29,5,2.9,U.A.E.,v Netherlands,Lahore,01-03-1996,ODI # 1069
Shakib Al Hasan,10,1,29,5,2.9,Bangladesh,v Afghanistan,Southampton,24-06-2019,ODI # 4172
Mohammad Amir,10,2,30,5,3,Pakistan,v Australia,Taunton,12-06-2019,ODI # 4157
RR Singh,9.3,-,31,5,3.26,India,v Sri Lanka,Taunton,26-05-1999,ODI # 1463
Yuvraj Singh,10,-,31,5,3.1,India,v Ireland,Bengaluru,06-03-2011,ODI # 3121
JDS Neesham,10,1,31,5,3.1,New Zealand,v Afghanistan,Taunton,08-06-2019,ODI # 4154
ALF de Mel,12,4,32,5,2.66,Sri Lanka,v New Zealand,Derby,18-06-1983,ODI # 214
VC Drakes,10,2,33,5,3.3,West Indies,v Kenya,Kimberley,04-03-2003,ODI # 1981
MR Marsh,9,-,33,5,3.66,Australia,v England,Melbourne,14-02-2015,ODI # 3600
RA Jadeja,9,1,33,5,3.66,India,v South Africa,Eden Gardens,05-11-2023,ODI # 4694
DK Lillee,12,2,34,5,2.83,Australia,v Pakistan,Leeds,07-06-1975,ODI # 21
Saqlain Mushtaq,10,1,35,5,3.5,Pakistan,v Bangladesh,Northampton,31-05-1999,ODI # 1471
DW Fleming,9,-,36,5,4,Australia,v India,Wankhede,27-02-1996,ODI # 1065
SM Pollock,9.2,1,36,5,3.85,South Africa,v Australia,Birmingham,17-06-1999,ODI # 1483
J Garner,11,-,38,5,3.45,West Indies,v England,Lord's,23-06-1979,ODI # 74
VJ Marks,12,3,39,5,3.25,England,v Sri Lanka,Taunton,11-06-1983,ODI # 201
ALF de Mel,12,1,39,5,3.25,Sri Lanka,v Pakistan,Leeds,16-06-1983,ODI # 211
CK Langeveldt,10,1,39,5,3.9,South Africa,v Sri Lanka,Providence,28-03-2007,ODI # 2556
B Lee,9.1,2,42,5,4.58,Australia,v New Zealand,Gqeberha,11-03-2003,ODI # 1986
N Kapil Dev,12,2,43,5,3.58,India,v Australia,Nottingham,13-06-1983,ODI # 207
RJ van Vuuren,10,2,43,5,4.3,Namibia,v England,Gqeberha,19-02-2003,ODI # 1959
Abdul Qadir,12,1,44,5,3.66,Pakistan,v Sri Lanka,Leeds,16-06-1983,ODI # 211
CJ McDermott,10,-,44,5,4.4,Australia,v Pakistan,Lahore,04-11-1987,ODI # 475
VC Drakes,9.5,1,44,5,4.47,West Indies,v Canada,Centurion,23-02-2003,ODI # 1963
JP Behrendorff,10,-,44,5,4.4,Australia,v England,Lord's,25-06-2019,ODI # 4173
A Nel,10,1,45,5,4.5,South Africa,v Bangladesh,Providence,07-04-2007,ODI # 2564
Imran Tahir,10,2,45,5,4.5,South Africa,v West Indies,Sydney,27-02-2015,ODI # 3616
Wahab Riaz,10,-,46,5,4.6,Pakistan,v India,Mohali,30-03-2011,ODI # 3147
MA Starc,10,1,46,5,4.6,Australia,v West Indies,Nottingham,06-06-2019,ODI # 4152
GJ Gilmour,12,2,48,5,4,Australia,v West Indies,Lord's,21-06-1975,ODI # 33
TT Bresnan,10,1,48,5,4.8,England,v India,Bengaluru,27-02-2011,ODI # 3110
DW Steyn,9.4,-,50,5,5.17,South Africa,v India,Nagpur,12-03-2011,ODI # 3128
R Rampaul,10,-,51,5,5.1,West Indies,v India,Chennai,20-03-2011,ODI # 3141
Shaheen Shah Afridi,10,1,54,5,5.4,Pakistan,v Australia,Bengaluru,20-10-2023,ODI # 4675
Mohammed Shami,10,-,54,5,5.4,India,v New Zealand,Dharamsala,22-10-2023,ODI # 4678
Sohail Khan,10,-,55,5,5.5,Pakistan,v India,Adelaide,15-02-2015,ODI # 3602
Mustafizur Rahman,10,1,59,5,5.9,Bangladesh,v India,Birmingham,02-07-2019,ODI # 4182
MJ Santner,10,-,59,5,5.9,New Zealand,v Netherlands,Hyderabad,09-10-2023,ODI # 4663
Mohammed Shami,10,1,69,5,6.9,India,v England,Birmingham,30-06-2019,ODI # 4179
ST Finn,10,-,71,5,7.1,England,v Australia,Melbourne,14-02-2015,ODI # 3600
Mustafizur Rahman,10,-,75,5,7.5,Bangladesh,v Pakistan,Lord's,05-07-2019,ODI # 4186
D Madushanka,10,-,80,5,8,Sri Lanka,v India,Wankhede,02-11-2023,ODI # 4690
TM Dilshan,3,1,4,4,1.33,Sri Lanka,v Zimbabwe,Pallekele,10-03-2011,ODI # 3125
Yuvraj Singh,4.3,2,6,4,1.33,India,v Namibia,Pietermaritzburg,23-02-2003,ODI # 1964
CZ Harris,3.1,-,7,4,2.21,New Zealand,v Scotland,Edinburgh,31-05-1999,ODI # 1472
CM Old,10,5,8,4,0.8,England,v Canada,Manchester,13-06-1979,ODI # 67
A Zampa,3,-,8,4,2.66,Australia,v Netherlands,Delhi,25-10-2023,ODI # 4681
JA Snow,12,6,11,4,0.91,England,v East Africa,Birmingham,14-06-1975,ODI # 27
RGD Willis,10.3,3,11,4,1.04,England,v Canada,Manchester,13-06-1979,ODI # 67
MW Pringle,8,4,11,4,1.37,South Africa,v West Indies,Christchurch,05-03-1992,ODI # 730
RAP Nissanka,7,1,12,4,1.71,Sri Lanka,v Canada,Paarl,19-02-2003,ODI # 1958
RJ Peterson,7,3,12,4,1.71,South Africa,v Bangladesh,Mirpur,19-03-2011,ODI # 3138
MA Starc,4.4,1,14,4,3,Australia,v Scotland,Hobart,14-03-2015,ODI # 3637
M Hendrick,12,6,15,4,1.25,England,v Pakistan,Leeds,16-06-1979,ODI # 71
SCJ Broad,6.4,-,15,4,2.25,England,v South Africa,Chennai,06-03-2011,ODI # 3120
L Klusener,8,2,16,4,2,South Africa,v Kenya,Potchefstroom,12-02-2003,ODI # 1947
HK Bennett,5,-,16,4,3.2,New Zealand,v Kenya,Chennai,20-02-2011,ODI # 3101
Mohammed Shami,6.2,-,16,4,2.52,India,v West Indies,Manchester,27-06-2019,ODI # 4175
AA Donald,8,1,17,4,2.12,South Africa,v England,The Oval,22-05-1999,ODI # 1455
SJ Benn,5.5,2,18,4,3.08,West Indies,v Bangladesh,Mirpur,04-03-2011,ODI # 3118
DL Vettori,10,4,18,4,1.8,New Zealand,v Afghanistan,Napier,08-03-2015,ODI # 3628
M Prabhakar,8,1,19,4,2.37,India,v Zimbabwe,Wankhede,17-10-1987,ODI # 461
NW Bracken,9.4,3,19,4,1.96,Australia,v Sri Lanka,St George's,16-04-2007,ODI # 2573
M Muralidaran,5,-,19,4,3.8,Sri Lanka,v Ireland,St George's,18-04-2007,ODI # 2575
MG Johnson,9.2,2,19,4,2.03,Australia,v Zimbabwe,Ahmedabad,21-02-2011,ODI # 3103
BD Julien,12,3,20,4,1.66,West Indies,v Sri Lanka,Manchester,07-06-1975,ODI # 22
S Madan Lal,8.2,3,20,4,2.4,India,v Australia,Chelmsford,20-06-1983,ODI # 219
Abdul Qadir,12,4,21,4,1.75,Pakistan,v New Zealand,Birmingham,11-06-1983,ODI # 202
EA Brandes,10,4,21,4,2.1,Zimbabwe,v England,Albury,18-03-1992,ODI # 748
Shafiul Islam,8,1,21,4,2.62,Bangladesh,v Ireland,Mirpur,25-02-2011,ODI # 3108
KJ Abbott,8,-,21,4,2.62,South Africa,v Ireland,Canberra,03-03-2015,ODI # 3621
